"table_schema","table_name","table_type","ordinal_position","column_name","data_type","character_maximum_length","numeric_precision","numeric_scale","is_nullable","column_default","column_comment"
"analytics","cash_accounts","VIEW",1,"cash_account_code","text",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","cash_accounts","VIEW",2,"cash_label","text",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","cash_accounts","VIEW",3,"cash_short_label","text",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","cash_accounts","VIEW",4,"gl_account_code","text",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","cash_accounts","VIEW",5,"gl_account_label","text",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","cash_accounts","VIEW",6,"gl_account_class","text",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","cash_accounts","VIEW",7,"chart_of_accounts","text",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","cash_accounts","VIEW",8,"responsible_user_code","text",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","cash_accounts","VIEW",9,"responsible_user_name","text",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","cash_accounts","VIEW",10,"current_balance","numeric",NULL,20,4,"YES",NULL,NULL
"analytics","cash_accounts","VIEW",11,"opening_balance","numeric",NULL,20,4,"YES",NULL,NULL
"analytics","cash_accounts","VIEW",12,"currency","text",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","cash_accounts","VIEW",13,"is_active","boolean",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","cash_accounts","VIEW",14,"company_code","text",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","cash_accounts","VIEW",15,"site_code","text",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","cash_accounts","VIEW",16,"company_account_code","text",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","cash_accounts","VIEW",17,"created_by_code","text",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","cash_accounts","VIEW",18,"created_by_name","text",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","cash_accounts","VIEW",19,"created_at","timestamp without time zone",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","cash_accounts","VIEW",20,"last_modified_by_code","text",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","cash_accounts","VIEW",21,"last_modified_by_name","text",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","cash_accounts","VIEW",22,"last_modified_at","timestamp without time zone",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","cash_accounts","VIEW",23,"modif_recente_indicator","text",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","cash_accounts","VIEW",24,"task_separation_indicator","text",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","cash_accounts","VIEW",25,"days_since_creation","integer",NULL,32,0,"YES",NULL,NULL
"analytics","cash_accounts","VIEW",26,"days_since_modification","integer",NULL,32,0,"YES",NULL,NULL
"analytics","cash_accounts","VIEW",27,"pole_id","text",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","cash_accounts","VIEW",28,"batch_id","text",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","cash_accounts","VIEW",29,"ingested_at","timestamp with time zone",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","cash_accounts","VIEW",30,"updated_at","timestamp with time zone",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","sage_advances","VIEW",1,"advance_id","text",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","sage_advances","VIEW",2,"source_id","text",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","sage_advances","VIEW",3,"advance_type","text",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","sage_advances","VIEW",4,"advance_subtype","text",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","sage_advances","VIEW",5,"third_party_code","text",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","sage_advances","VIEW",6,"third_party_name","text",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","sage_advances","VIEW",7,"third_party_category","text",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","sage_advances","VIEW",8,"advance_date","timestamp without time zone",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","sage_advances","VIEW",9,"fiscal_year","integer",NULL,32,0,"YES",NULL,NULL
"analytics","sage_advances","VIEW",10,"fiscal_period","integer",NULL,32,0,"YES",NULL,NULL
"analytics","sage_advances","VIEW",11,"currency","text",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","sage_advances","VIEW",12,"amount","numeric",NULL,20,4,"YES",NULL,NULL
"analytics","sage_advances","VIEW",13,"regularized_amount","numeric",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","sage_advances","VIEW",14,"outstanding_amount","numeric",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","sage_advances","VIEW",15,"regularized_percent","numeric",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","sage_advances","VIEW",16,"age_days","integer",NULL,32,0,"YES",NULL,NULL
"analytics","sage_advances","VIEW",17,"age_indicator","text",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","sage_advances","VIEW",18,"status","text",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","sage_advances","VIEW",19,"regularization_status","text",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","sage_advances","VIEW",20,"responsible","text",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","sage_advances","VIEW",21,"responsible_code","text",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","sage_advances","VIEW",22,"validated_by","text",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","sage_advances","VIEW",23,"has_attachment","boolean",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","sage_advances","VIEW",24,"drive_document_url","text",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","sage_advances","VIEW",25,"payment_method","text",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","sage_advances","VIEW",26,"related_document","text",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","sage_advances","VIEW",27,"site_code","text",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","sage_advances","VIEW",28,"company_code","text",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","sage_advances","VIEW",29,"payment_account","text",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","sage_advances","VIEW",30,"reference","text",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","sage_advances","VIEW",31,"task_separation","text",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","sage_advances","VIEW",32,"plafond_indicator","text",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","sage_advances","VIEW",33,"justification_indicator","text",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","sage_advances","VIEW",34,"source_batch_id","text",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","sage_advances","VIEW",35,"source_ingested_at","timestamp with time zone",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","sage_advances","VIEW",36,"pole_id","text",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","sage_audit_trail","VIEW",1,"audit_id","text",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","sage_audit_trail","VIEW",2,"table_name","text",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","sage_audit_trail","VIEW",3,"record_id","text",NULL,NULL,NULL,"YES",NULL,NULL
"analytics","sage_audit_trail","VIEW",4,"record_label","text",NULL,NULL,NULL,"YES",NULL,NULL
